Huntsville,Alabama,216963
Montgomery,Alabama,198665
Birmingham,Alabama,197575
Mobile,Alabama,184952
Tuscaloosa,Alabama,100618
Hoover,Alabama,92589
Auburn,Alabama,78564
Dothan,Alabama,71175
Madison,Alabama,58357
Decatur,Alabama,57804
Florence,Alabama,39933
Vestavia Hills,Alabama,38801
Phenix City,Alabama,38428
Prattville,Alabama,38286
Gadsden,Alabama,33769
